question_number,arabic,english,answer,relevancy,surah_number,ayah_start,ayah_end,quran_passage_arabic,quran_passage_english
302,ما هو الجهاد؟,What is jihād?,9:19-22,1,9,19,22,أجعلتم سقاية الحاج وعمارة المسجد الحرام كمن آمن بالله واليوم الآخر وجاهد في سبيل الله لا يستوون عند الله والله لا يهدي القوم الظالمين. الذين آمنوا وهاجروا وجاهدوا في سبيل الله بأموالهم وأنفسهم أعظم درجة عند الله وأولئك هم الفائزون. يبشرهم ربهم برحمة منه ورضوان وجنات لهم فيها نعيم مقيم. خالدين فيها أبدا إن الله عنده أجر عظيم.,"Do you consider giving water to the pilgrims and maintaining the Sacred Mosque as equal to believing in Allah and the Last Day and striving for Allah’s cause? They are not equal before Allah, and Allah does not guide the wrongdoing people. . Those who believed, emigrated, and strove in Allah’s cause with their wealth and their lives are of a higher rank before Allah; it is they who will triumph. . Their Lord gives them glad tidings of mercy from Him and His pleasure, and of gardens in which they will have everlasting bliss, . abiding therein forever. Indeed, with Allah is a great reward."
302,ما هو الجهاد؟,What is jihād?,9:41-41,1,9,41,41,انفروا خفافا وثقالا وجاهدوا بأموالكم وأنفسكم في سبيل الله ذلكم خير لكم إن كنتم تعلمون.,"March forth, whether lightly or heavily armed[42], and strive in the cause of Allah with your wealth and your lives. That is best for you, if only you knew."
302,ما هو الجهاد؟,What is jihād?,9:42-49,1,9,42,49,لو كان عرضا قريبا وسفرا قاصدا لاتبعوك ولكن بعدت عليهم الشقة وسيحلفون بالله لو استطعنا لخرجنا معكم يهلكون أنفسهم والله يعلم إنهم لكاذبون. عفا الله عنك لم أذنت لهم حتى يتبين لك الذين صدقوا وتعلم الكاذبين. لا يستأذنك الذين يؤمنون بالله واليوم الآخر أن يجاهدوا بأموالهم وأنفسهم والله عليم بالمتقين. إنما يستأذنك الذين لا يؤمنون بالله واليوم الآخر وارتابت قلوبهم فهم في ريبهم يترددون. ولو أرادوا الخروج لأعدوا له عدة ولكن كره الله انبعاثهم فثبطهم وقيل اقعدوا مع القاعدين. لو خرجوا فيكم ما زادوكم إلا خبالا ولأوضعوا خلالكم يبغونكم الفتنة وفيكم سماعون لهم والله عليم بالظالمين. لقد ابتغوا الفتنة من قبل وقلبوا لك الأمور حتى جاء الحق وظهر أمر الله وهم كارهون. ومنهم من يقول ائذن لي ولا تفتني ألا في الفتنة سقطوا وإن جهنم لمحيطة بالكافرين.,"If it had been an easy win within reach and a short journey, those [hypocrites] would have followed you, but the distance seemed too far for them. They will swear by Allah[43], “If we had been able, we would have surely joined you,” destroying themselves [through false oaths], and Allah knows that they are liars. . May Allah pardon you [O Prophet]! Why did you give them permission [to stay behind] before it became clear to you as to who were telling the truth, and who were liars[44]? . Those who believe in Allah and the Last Day will not ask you to be exempted from striving with their wealth and their lives in Allah’s cause. Allah is All-Knowing of those who fear Him. . Only those who do not believe in Allah and the Last Day ask permission to be exempted; they have doubts in their hearts, so they will continue to waver in their doubts. . If they had truly intended to march forth, they would have made necessary preparations for it. But Allah disliked their going forth, so He made them lag behind, and they were told, “Stay behind with those who are staying behind[45].” . If they had gone forth with you, they would have only increased you in disorder and would have scurried around, sowing discord among you, and some of you would have listened to them. And Allah is All-Knowing of the wrongdoers. . They had surely sought to sow discord before and devised plots against you [O Prophet][46] until the truth [i.e., victory] came and Allah’s decree [i.e., religion] prevailed, even though they were averse. . There are some among them who say, “Exempt me and do not expose me to temptation.” They have already fallen into temptation[47]. Hell will certainly encompass the disbelievers."
302,ما هو الجهاد؟,What is jihād?,9:73-74,1,9,73,74,يا أيها النبي جاهد الكفار والمنافقين واغلظ عليهم ومأواهم جهنم وبئس المصير. يحلفون بالله ما قالوا ولقد قالوا كلمة الكفر وكفروا بعد إسلامهم وهموا بما لم ينالوا وما نقموا إلا أن أغناهم الله ورسوله من فضله فإن يتوبوا يك خيرا لهم وإن يتولوا يعذبهم الله عذابا أليما في الدنيا والآخرة وما لهم في الأرض من ولي ولا نصير.,"O Prophet, strive against the disbelievers and the hypocrites, and be harsh with them. Their abode is Hell. What a terrible destination! . They swear by Allah that they said nothing [blasphemous], while they indeed uttered a word of blasphemy[61], and disbelieved after accepting Islam, and plotted what they could not achieve[62]. They are spiteful [against believers] for no reason except that Allah and His Messenger have enriched them out of His bounty. If they repent, it will be better for them, but if they turn away, Allah will chastise them with a painful punishment in this world and in the Hereafter, and they will have on earth no protector or helper."
302,ما هو الجهاد؟,What is jihād?,9:88-89,1,9,88,89,لكن الرسول والذين آمنوا معه جاهدوا بأموالهم وأنفسهم وأولئك لهم الخيرات وأولئك هم المفلحون. أعد الله لهم جنات تجري من تحتها الأنهار خالدين فيها ذلك الفوز العظيم.,"But the Messenger and those who believe with him strive with their wealth and their lives. It is they who will have all kinds of good, and it is they who are successful. . Allah has prepared for them gardens under which rivers flow, abiding therein forever; that is the supreme triumph."
302,ما هو الجهاد؟,What is jihād?,49:14-18,1,49,14,18,قالت الأعراب آمنا قل لم تؤمنوا ولكن قولوا أسلمنا ولما يدخل الإيمان في قلوبكم وإن تطيعوا الله ورسوله لا يلتكم من أعمالكم شيئا إن الله غفور رحيم. إنما المؤمنون الذين آمنوا بالله ورسوله ثم لم يرتابوا وجاهدوا بأموالهم وأنفسهم في سبيل الله أولئك هم الصادقون. قل أتعلمون الله بدينكم والله يعلم ما في السماوات وما في الأرض والله بكل شيء عليم. يمنون عليك أن أسلموا قل لا تمنوا علي إسلامكم بل الله يمن عليكم أن هداكم للإيمان إن كنتم صادقين. إن الله يعلم غيب السماوات والأرض والله بصير بما تعملون.,"The Bedouins say, “We have believed.” Say, “You have not believed, but say, ‘We have submitted,’ for faith has not yet entered your hearts[8]. But if you obey Allah and His Messenger, He will not detract anything from the reward of your deeds. Indeed, Allah is All-Forgiving, Most Merciful.” . Indeed, the believers are those who believe in Allah and His Messenger, then they do not have doubt, but fight with their wealth and their lives in the way of Allah. It is they who are the truthful. . Say, “Do you inform Allah of your faith, when Allah knows all that is in the heavens and all that is on earth? And Allah is All-Knowing of everything.” . They think that they have done you a favor by embracing Islam. Say, “Do not consider your Islam as a favor to me. Rather, it is Allah Who has done you a favor by guiding you to faith, if you are truthful. . Indeed, Allah knows all that is unseen of the heavens and earth, and Allah is All-Seeing of what you do.”"
302,ما هو الجهاد؟,What is jihād?,61:10-14,1,61,10,14,يا أيها الذين آمنوا هل أدلكم على تجارة تنجيكم من عذاب أليم. تؤمنون بالله ورسوله وتجاهدون في سبيل الله بأموالكم وأنفسكم ذلكم خير لكم إن كنتم تعلمون. يغفر لكم ذنوبكم ويدخلكم جنات تجري من تحتها الأنهار ومساكن طيبة في جنات عدن ذلك الفوز العظيم. وأخرى تحبونها نصر من الله وفتح قريب وبشر المؤمنين. يا أيها الذين آمنوا كونوا أنصار الله كما قال عيسى ابن مريم للحواريين من أنصاري إلى الله قال الحواريون نحن أنصار الله فآمنت طائفة من بني إسرائيل وكفرت طائفة فأيدنا الذين آمنوا على عدوهم فأصبحوا ظاهرين.,"O you who believe, shall I tell you about a trade that will save you from a painful punishment? . It is to believe in Allah and His Messenger and to struggle in the way of Allah with your wealth and your lives. That is better for you, if only you knew. . He will forgive you your sins and admit you to gardens under which rivers flow, and pleasant dwellings in Gardens of Eternity. That is the supreme triumph. . And [He will grant you] another favor that you love: help from Allah [against your enemies] and an imminent conquest. Give glad tidings to the believers. . O you who believe, be supporters of Allah’s cause, as Jesus, son of Mary, said to the disciples, “Who will be my supporters for Allah’s cause?” The disciples said, “We are the supporters of Allah’s cause.” Then a group of the Children of Israel believed and another disbelieved. We then supported those who believed against their enemies, so they prevailed."
302,ما هو الجهاد؟,What is jihād?,66:9-9,1,66,9,9,يا أيها النبي جاهد الكفار والمنافقين واغلظ عليهم ومأواهم جهنم وبئس المصير.,"O Prophet, strive [i.e., fight] against the disbelievers and the hypocrites, and be harsh with them. Their abode will be Hell. What a terrible destination!"
303,على من فُرض الجهاد في سبيل الله؟,On whom is striving in God’s path obligatory?,2:216-218,1,2,216,218,كتب عليكم القتال وهو كره لكم وعسى أن تكرهوا شيئا وهو خير لكم وعسى أن تحبوا شيئا وهو شر لكم والله يعلم وأنتم لا تعلمون. يسألونك عن الشهر الحرام قتال فيه قل قتال فيه كبير وصد عن سبيل الله وكفر به والمسجد الحرام وإخراج أهله منه أكبر عند الله والفتنة أكبر من القتل ولا يزالون يقاتلونكم حتى يردوكم عن دينكم إن استطاعوا ومن يرتدد منكم عن دينه فيمت وهو كافر فأولئك حبطت أعمالهم في الدنيا والآخرة وأولئك أصحاب النار هم فيها خالدون. إن الذين آمنوا والذين هاجروا وجاهدوا في سبيل الله أولئك يرجون رحمت الله والله غفور رحيم.,"Fighting has been enjoined upon you, even though you dislike it. But it maybe that you dislike something which is good for you, and you like something which is bad for you. Allah knows and you do not know. . They ask you about fighting in the Sacred Months[111]. Say, “Fighting therein is a great sin, but preventing people from the path of Allah, disbelieving in Him, preventing from the Sacred Mosque, and expelling its people from it is a greater sin with Allah, and persecution is far worse than fighting[112].” They will not cease fighting you until they turn you away from your faith if they can. And if anyone among you renounces his faith and dies as a disbeliever, their deeds will be void in this life and in the Hereafter. They are the people of the Fire; they will abide therein forever. . Those who believed, migrated, and fought for the sake of Allah – it is they who hope for Allah’s mercy, and Allah is All-Forgiving, Most Merciful."
303,على من فُرض الجهاد في سبيل الله؟,On whom is striving in God’s path obligatory?,3:121-129,1,3,121,129,وإذ غدوت من أهلك تبوئ المؤمنين مقاعد للقتال والله سميع عليم. إذ همت طائفتان منكم أن تفشلا والله وليهما وعلى الله فليتوكل المؤمنون. ولقد نصركم الله ببدر وأنتم أذلة فاتقوا الله لعلكم تشكرون. إذ تقول للمؤمنين ألن يكفيكم أن يمدكم ربكم بثلاثة آلاف من الملائكة منزلين. بلى إن تصبروا وتتقوا ويأتوكم من فورهم هذا يمددكم ربكم بخمسة آلاف من الملائكة مسومين. وما جعله الله إلا بشرى لكم ولتطمئن قلوبكم به وما النصر إلا من عند الله العزيز الحكيم. ليقطع طرفا من الذين كفروا أو يكبتهم فينقلبوا خائبين. ليس لك من الأمر شيء أو يتوب عليهم أو يعذبهم فإنهم ظالمون. ولله ما في السماوات وما في الأرض يغفر لمن يشاء ويعذب من يشاء والله غفور رحيم.,"And [remember] when you left your home in the morning to position the believers for the battle [of ’Uhud]; and Allah is All-Hearing, All-Knowing. . When two parties[57] from among you were about to lose courage, but Allah was their protector. Let the believers put their trust in Allah. . Allah had helped you at Badr when you were weak; then fear Allah so that you may be grateful. . [Remember] when you said to the believers, “Will it not suffice you that your Lord will help you by sending down three thousand angels?” . Yes, if you stay patient and fear Allah, and the enemy should launch a surprise attack on you, your Lord will help you with five thousand marked angels. . Allah ordained this only as glad tidings for you, and to reassure your hearts thereby. Victory only comes from Allah, the All-Mighty, the All-Wise, . in order to destroy a section of the disbelievers or disgrace them, so they may turn back utterly disappointed. . It is not for you [O Prophet] to decide whether He will accept their repentance or punish them, for they are wrongdoers. . To Allah belongs all that is in the heavens and all that is on earth. He forgives whom He wills and punishes whom He wills, and Allah is All-Forgiving, Most Merciful."
303,على من فُرض الجهاد في سبيل الله؟,On whom is striving in God’s path obligatory?,3:166-168,1,3,166,168,وما أصابكم يوم التقى الجمعان فبإذن الله وليعلم المؤمنين. وليعلم الذين نافقوا وقيل لهم تعالوا قاتلوا في سبيل الله أو ادفعوا قالوا لو نعلم قتالا لاتبعناكم هم للكفر يومئذ أقرب منهم للإيمان يقولون بأفواههم ما ليس في قلوبهم والله أعلم بما يكتمون. الذين قالوا لإخوانهم وقعدوا لو أطاعونا ما قتلوا قل فادرءوا عن أنفسكم الموت إن كنتم صادقين.,"What you suffered on the day [of ’Uhud] when the two armies met was by Allah’s permission, so that He may distinguish the [true] believers, . and in order to make known those who are hypocrites. They were told, “Come forward, fight in the way of Allah or at least defend.” They said, “If we had known there was fighting, we would have certainly followed you.” That day they were nearer to disbelief than to faith, saying with their mouths what was not in their hearts, but Allah is All-Knowing of what they conceal. . Those who stayed behind said about their brothers, “If they had obeyed us, they would not have been killed [at ’Uhud].” Say, “Then avert death from yourselves, if you are truthful.”"
303,على من فُرض الجهاد في سبيل الله؟,On whom is striving in God’s path obligatory?,4:77-79,1,4,77,79,ألم تر إلى الذين قيل لهم كفوا أيديكم وأقيموا الصلاة وآتوا الزكاة فلما كتب عليهم القتال إذا فريق منهم يخشون الناس كخشية الله أو أشد خشية وقالوا ربنا لم كتبت علينا القتال لولا أخرتنا إلى أجل قريب قل متاع الدنيا قليل والآخرة خير لمن اتقى ولا تظلمون فتيلا. أينما تكونوا يدرككم الموت ولو كنتم في بروج مشيدة وإن تصبهم حسنة يقولوا هذه من عند الله وإن تصبهم سيئة يقولوا هذه من عندك قل كل من عند الله فمال هؤلاء القوم لا يكادون يفقهون حديثا. ما أصابك من حسنة فمن الله وما أصابك من سيئة فمن نفسك وأرسلناك للناس رسولا وكفى بالله شهيدا.,"Have you not seen those who were told, “Restrain your hands [from fighting][55], establish prayer and give zakah”? However, when fighting was ordained for them, a group of them feared people as one should fear Allah or even more. They said, “Our Lord, why have You ordained fighting for us? If only you had spared us for a little while.” Say, “The enjoyment of this world is little, and the Hereafter is better for those who fear Allah. And you will not be wronged, even as much as a thread of a date stone. . Wherever you are, death will overcome you, even if you are in fortified towers.” If something good happens to them, they say, “This is from Allah,” but if something bad happens to them, they say, “This is from you[56].” Say, “All is from Allah.” What is wrong with these people that they hardly understand any words? . Whatever good happens to you[57] is from Allah, but whatever bad happens to you is from yourself[58]. We have sent you [O Prophet] as a messenger to mankind, and sufficient is Allah as a witness."
303,على من فُرض الجهاد في سبيل الله؟,On whom is striving in God’s path obligatory?,5:35-37,1,5,35,37,يا أيها الذين آمنوا اتقوا الله وابتغوا إليه الوسيلة وجاهدوا في سبيله لعلكم تفلحون. إن الذين كفروا لو أن لهم ما في الأرض جميعا ومثله معه ليفتدوا به من عذاب يوم القيامة ما تقبل منهم ولهم عذاب أليم. يريدون أن يخرجوا من النار وما هم بخارجين منها ولهم عذاب مقيم.,"O you who believe, fear Allah and seek the means of nearness to Him[33], and struggle in His way, so that you may succeed. . As for those who disbelieved, even if they were to possess everything on earth and the like of it to ransom themselves[34] from the punishment of the Day of Resurrection, it would not be accepted from them, and for them there will be a painful punishment. . They will wish to get out of the Fire, but they will never get out of it, and for them there will be an everlasting punishment."
303,على من فُرض الجهاد في سبيل الله؟,On whom is striving in God’s path obligatory?,5:54-56,1,5,54,56,يا أيها الذين آمنوا من يرتد منكم عن دينه فسوف يأتي الله بقوم يحبهم ويحبونه أذلة على المؤمنين أعزة على الكافرين يجاهدون في سبيل الله ولا يخافون لومة لائم ذلك فضل الله يؤتيه من يشاء والله واسع عليم. إنما وليكم الله ورسوله والذين آمنوا الذين يقيمون الصلاة ويؤتون الزكاة وهم راكعون. ومن يتول الله ورسوله والذين آمنوا فإن حزب الله هم الغالبون.,"O you who believe, Whoever among you renounces his faith, Allah will bring a people whom He loves and who love Him. They will be humble towards the believers but strict towards the disbelievers, striving in the way of Allah and fearing no reproach from any critic. This is Allah’s favor which He gives to whom He wills. And Allah is All-Bountiful, All-Knowing. . Your only allies are Allah, His Messenger, and those believers who establish prayer and give zakah with humble submission. . Whoever takes Allah, His Messenger, and the believers as their allies, then it is the party of Allah that will certainly prevail."
303,على من فُرض الجهاد في سبيل الله؟,On whom is striving in God’s path obligatory?,8:62-66,1,8,62,66,وإن يريدوا أن يخدعوك فإن حسبك الله هو الذي أيدك بنصره وبالمؤمنين. وألف بين قلوبهم لو أنفقت ما في الأرض جميعا ما ألفت بين قلوبهم ولكن الله ألف بينهم إنه عزيز حكيم. يا أيها النبي حسبك الله ومن اتبعك من المؤمنين. يا أيها النبي حرض المؤمنين على القتال إن يكن منكم عشرون صابرون يغلبوا مائتين وإن يكن منكم مائة يغلبوا ألفا من الذين كفروا بأنهم قوم لا يفقهون. الآن خفف الله عنكم وعلم أن فيكم ضعفا فإن يكن منكم مائة صابرة يغلبوا مائتين وإن يكن منكم ألف يغلبوا ألفين بإذن الله والله مع الصابرين.,"But if they intend to deceive you, then Allah is sufficient for you; it is He Who supported you with His help and with that of the believers. . He brought their hearts together[39], even if you had spent all that is on earth, you could not have brought their hearts together, but Allah has brought them together, for He is All-Mighty, All-Wise. . O Prophet, Allah is sufficient for you[40] and for the believers who follow you. . O Prophet, urge the believers to fight. If there are twenty steadfast among you, they will overcome two hundred; and if there are a hundred of you, they will overcome a thousand of the disbelievers, for they are a people who do not understand. . Now Allah has lightened your burden, for He knew that there is weakness in you. So if there are a hundred steadfast men among you, they will overcome two hundred; and if there are a thousand, they will overcome two thousand, by Allah’s permission. And Allah is with those who are steadfast."
303,على من فُرض الجهاد في سبيل الله؟,On whom is striving in God’s path obligatory?,8:72-75,1,8,72,75,إن الذين آمنوا وهاجروا وجاهدوا بأموالهم وأنفسهم في سبيل الله والذين آووا ونصروا أولئك بعضهم أولياء بعض والذين آمنوا ولم يهاجروا ما لكم من ولايتهم من شيء حتى يهاجروا وإن استنصروكم في الدين فعليكم النصر إلا على قوم بينكم وبينهم ميثاق والله بما تعملون بصير. والذين كفروا بعضهم أولياء بعض إلا تفعلوه تكن فتنة في الأرض وفساد كبير. والذين آمنوا وهاجروا وجاهدوا في سبيل الله والذين آووا ونصروا أولئك هم المؤمنون حقا لهم مغفرة ورزق كريم. والذين آمنوا من بعد وهاجروا وجاهدوا معكم فأولئك منكم وأولو الأرحام بعضهم أولى ببعض في كتاب الله إن الله بكل شيء عليم.,"Those who believed, migrated, and fought with their wealth and their lives in the cause of Allah, and those who provided [the migrants] with shelter and help – they are allies of one another. As for those who believed but did not migrate, you have no obligation to protect them until they migrate. But if they seek your help in religion, it is your obligation to help, except against people with whom you have a treaty. And Allah is All-Seeing of what you do. . Those who disbelieve are protectors of one another[46]. Unless you do likewise, there will be persecution in the land and great corruption. . Those who believed, migrated and fought in the cause of Allah, as well as those who gave them refuge and help – it is they who are the true believers; they will have forgiveness and an honorable provision. . And those who believed afterwards, migrated and fought along with you – they belong to you. But blood relatives are more entitled to inherit[47] from one another according to the Book of Allah. Indeed, Allah is All-Knowing of everything."
303,على من فُرض الجهاد في سبيل الله؟,On whom is striving in God’s path obligatory?,9:19-22,1,9,19,22,أجعلتم سقاية الحاج وعمارة المسجد الحرام كمن آمن بالله واليوم الآخر وجاهد في سبيل الله لا يستوون عند الله والله لا يهدي القوم الظالمين. الذين آمنوا وهاجروا وجاهدوا في سبيل الله بأموالهم وأنفسهم أعظم درجة عند الله وأولئك هم الفائزون. يبشرهم ربهم برحمة منه ورضوان وجنات لهم فيها نعيم مقيم. خالدين فيها أبدا إن الله عنده أجر عظيم.,"Do you consider giving water to the pilgrims and maintaining the Sacred Mosque as equal to believing in Allah and the Last Day and striving for Allah’s cause? They are not equal before Allah, and Allah does not guide the wrongdoing people. . Those who believed, emigrated, and strove in Allah’s cause with their wealth and their lives are of a higher rank before Allah; it is they who will triumph. . Their Lord gives them glad tidings of mercy from Him and His pleasure, and of gardens in which they will have everlasting bliss, . abiding therein forever. Indeed, with Allah is a great reward."
303,على من فُرض الجهاد في سبيل الله؟,On whom is striving in God’s path obligatory?,9:42-49,1,9,42,49,لو كان عرضا قريبا وسفرا قاصدا لاتبعوك ولكن بعدت عليهم الشقة وسيحلفون بالله لو استطعنا لخرجنا معكم يهلكون أنفسهم والله يعلم إنهم لكاذبون. عفا الله عنك لم أذنت لهم حتى يتبين لك الذين صدقوا وتعلم الكاذبين. لا يستأذنك الذين يؤمنون بالله واليوم الآخر أن يجاهدوا بأموالهم وأنفسهم والله عليم بالمتقين. إنما يستأذنك الذين لا يؤمنون بالله واليوم الآخر وارتابت قلوبهم فهم في ريبهم يترددون. ولو أرادوا الخروج لأعدوا له عدة ولكن كره الله انبعاثهم فثبطهم وقيل اقعدوا مع القاعدين. لو خرجوا فيكم ما زادوكم إلا خبالا ولأوضعوا خلالكم يبغونكم الفتنة وفيكم سماعون لهم والله عليم بالظالمين. لقد ابتغوا الفتنة من قبل وقلبوا لك الأمور حتى جاء الحق وظهر أمر الله وهم كارهون. ومنهم من يقول ائذن لي ولا تفتني ألا في الفتنة سقطوا وإن جهنم لمحيطة بالكافرين.,"If it had been an easy win within reach and a short journey, those [hypocrites] would have followed you, but the distance seemed too far for them. They will swear by Allah[43], “If we had been able, we would have surely joined you,” destroying themselves [through false oaths], and Allah knows that they are liars. . May Allah pardon you [O Prophet]! Why did you give them permission [to stay behind] before it became clear to you as to who were telling the truth, and who were liars[44]? . Those who believe in Allah and the Last Day will not ask you to be exempted from striving with their wealth and their lives in Allah’s cause. Allah is All-Knowing of those who fear Him. . Only those who do not believe in Allah and the Last Day ask permission to be exempted; they have doubts in their hearts, so they will continue to waver in their doubts. . If they had truly intended to march forth, they would have made necessary preparations for it. But Allah disliked their going forth, so He made them lag behind, and they were told, “Stay behind with those who are staying behind[45].” . If they had gone forth with you, they would have only increased you in disorder and would have scurried around, sowing discord among you, and some of you would have listened to them. And Allah is All-Knowing of the wrongdoers. . They had surely sought to sow discord before and devised plots against you [O Prophet][46] until the truth [i.e., victory] came and Allah’s decree [i.e., religion] prevailed, even though they were averse. . There are some among them who say, “Exempt me and do not expose me to temptation.” They have already fallen into temptation[47]. Hell will certainly encompass the disbelievers."
303,على من فُرض الجهاد في سبيل الله؟,On whom is striving in God’s path obligatory?,9:73-74,1,9,73,74,يا أيها النبي جاهد الكفار والمنافقين واغلظ عليهم ومأواهم جهنم وبئس المصير. يحلفون بالله ما قالوا ولقد قالوا كلمة الكفر وكفروا بعد إسلامهم وهموا بما لم ينالوا وما نقموا إلا أن أغناهم الله ورسوله من فضله فإن يتوبوا يك خيرا لهم وإن يتولوا يعذبهم الله عذابا أليما في الدنيا والآخرة وما لهم في الأرض من ولي ولا نصير.,"O Prophet, strive against the disbelievers and the hypocrites, and be harsh with them. Their abode is Hell. What a terrible destination! . They swear by Allah that they said nothing [blasphemous], while they indeed uttered a word of blasphemy[61], and disbelieved after accepting Islam, and plotted what they could not achieve[62]. They are spiteful [against believers] for no reason except that Allah and His Messenger have enriched them out of His bounty. If they repent, it will be better for them, but if they turn away, Allah will chastise them with a painful punishment in this world and in the Hereafter, and they will have on earth no protector or helper."
303,على من فُرض الجهاد في سبيل الله؟,On whom is striving in God’s path obligatory?,9:88-89,1,9,88,89,لكن الرسول والذين آمنوا معه جاهدوا بأموالهم وأنفسهم وأولئك لهم الخيرات وأولئك هم المفلحون. أعد الله لهم جنات تجري من تحتها الأنهار خالدين فيها ذلك الفوز العظيم.,"But the Messenger and those who believe with him strive with their wealth and their lives. It is they who will have all kinds of good, and it is they who are successful. . Allah has prepared for them gardens under which rivers flow, abiding therein forever; that is the supreme triumph."
303,على من فُرض الجهاد في سبيل الله؟,On whom is striving in God’s path obligatory?,49:14-18,1,49,14,18,قالت الأعراب آمنا قل لم تؤمنوا ولكن قولوا أسلمنا ولما يدخل الإيمان في قلوبكم وإن تطيعوا الله ورسوله لا يلتكم من أعمالكم شيئا إن الله غفور رحيم. إنما المؤمنون الذين آمنوا بالله ورسوله ثم لم يرتابوا وجاهدوا بأموالهم وأنفسهم في سبيل الله أولئك هم الصادقون. قل أتعلمون الله بدينكم والله يعلم ما في السماوات وما في الأرض والله بكل شيء عليم. يمنون عليك أن أسلموا قل لا تمنوا علي إسلامكم بل الله يمن عليكم أن هداكم للإيمان إن كنتم صادقين. إن الله يعلم غيب السماوات والأرض والله بصير بما تعملون.,"The Bedouins say, “We have believed.” Say, “You have not believed, but say, ‘We have submitted,’ for faith has not yet entered your hearts[8]. But if you obey Allah and His Messenger, He will not detract anything from the reward of your deeds. Indeed, Allah is All-Forgiving, Most Merciful.” . Indeed, the believers are those who believe in Allah and His Messenger, then they do not have doubt, but fight with their wealth and their lives in the way of Allah. It is they who are the truthful. . Say, “Do you inform Allah of your faith, when Allah knows all that is in the heavens and all that is on earth? And Allah is All-Knowing of everything.” . They think that they have done you a favor by embracing Islam. Say, “Do not consider your Islam as a favor to me. Rather, it is Allah Who has done you a favor by guiding you to faith, if you are truthful. . Indeed, Allah knows all that is unseen of the heavens and earth, and Allah is All-Seeing of what you do.”"
303,على من فُرض الجهاد في سبيل الله؟,On whom is striving in God’s path obligatory?,60:1-3,1,60,1,3,يا أيها الذين آمنوا لا تتخذوا عدوي وعدوكم أولياء تلقون إليهم بالمودة وقد كفروا بما جاءكم من الحق يخرجون الرسول وإياكم أن تؤمنوا بالله ربكم إن كنتم خرجتم جهادا في سبيلي وابتغاء مرضاتي تسرون إليهم بالمودة وأنا أعلم بما أخفيتم وما أعلنتم ومن يفعله منكم فقد ضل سواء السبيل. إن يثقفوكم يكونوا لكم أعداء ويبسطوا إليكم أيديهم وألسنتهم بالسوء وودوا لو تكفرون. لن تنفعكم أرحامكم ولا أولادكم يوم القيامة يفصل بينكم والله بما تعملون بصير.,"O you who believe, do not take My enemies and your enemies as allies, offering them friendship even though they rejected the truth that has come to you, and they have driven out the Messenger and yourselves [from Makkah] simply because you believe in Allah, your Lord – if you have emigrated[1] to struggle in My cause and seek My pleasure. How can you disclose secrets [of the believers], showing them friendship, when I know best all that you conceal and all that you reveal? Whoever among you does that has truly strayed from the straight path. . If they gain the upper hand over you, they would be your [open] enemies and would stretch their hands and tongues towards you to harm you, and they wish that you too would disbelieve. . Neither your relatives nor your children will benefit you on the Day of Resurrection; He will judge between you, and Allah is All-Seeing of what you do."
303,على من فُرض الجهاد في سبيل الله؟,On whom is striving in God’s path obligatory?,61:10-14,1,61,10,14,يا أيها الذين آمنوا هل أدلكم على تجارة تنجيكم من عذاب أليم. تؤمنون بالله ورسوله وتجاهدون في سبيل الله بأموالكم وأنفسكم ذلكم خير لكم إن كنتم تعلمون. يغفر لكم ذنوبكم ويدخلكم جنات تجري من تحتها الأنهار ومساكن طيبة في جنات عدن ذلك الفوز العظيم. وأخرى تحبونها نصر من الله وفتح قريب وبشر المؤمنين. يا أيها الذين آمنوا كونوا أنصار الله كما قال عيسى ابن مريم للحواريين من أنصاري إلى الله قال الحواريون نحن أنصار الله فآمنت طائفة من بني إسرائيل وكفرت طائفة فأيدنا الذين آمنوا على عدوهم فأصبحوا ظاهرين.,"O you who believe, shall I tell you about a trade that will save you from a painful punishment? . It is to believe in Allah and His Messenger and to struggle in the way of Allah with your wealth and your lives. That is better for you, if only you knew. . He will forgive you your sins and admit you to gardens under which rivers flow, and pleasant dwellings in Gardens of Eternity. That is the supreme triumph. . And [He will grant you] another favor that you love: help from Allah [against your enemies] and an imminent conquest. Give glad tidings to the believers. . O you who believe, be supporters of Allah’s cause, as Jesus, son of Mary, said to the disciples, “Who will be my supporters for Allah’s cause?” The disciples said, “We are the supporters of Allah’s cause.” Then a group of the Children of Israel believed and another disbelieved. We then supported those who believed against their enemies, so they prevailed."
303,على من فُرض الجهاد في سبيل الله؟,On whom is striving in God’s path obligatory?,66:9-9,1,66,9,9,يا أيها النبي جاهد الكفار والمنافقين واغلظ عليهم ومأواهم جهنم وبئس المصير.,"O Prophet, strive [i.e., fight] against the disbelievers and the hypocrites, and be harsh with them. Their abode will be Hell. What a terrible destination!"
